Currency,Rates
BTC,"$61,539"
ETH,"$2,476"
USDT,$0.9998
BNB ,$553.72
SOL ,$146.95
USDC ,$1.000
XRP ,$0.5985
DOGE ,$0.1075
TON ,$5.454
TRX ,$0.1544
ADA ,$0.3564
AVAX ,$26.16
SHIB ,$0.00001671
LINK ,$11.20
BCH ,$321.62
DOT ,$4.201
NEAR ,$4.872
LEO ,$5.896
DAI ,$1.001
SUI ,$1.859
LTC ,$64.08
UNI ,$7.043
PEPE ,$0.00001004
TAO ,$546.55
ICP ,$8.314
APT ,$7.733
FET ,$1.513
KAS ,$0.1516
RENDER ,$5.927
POL ,$0.3837
XLM ,$0.09448
ETC ,$18.58
FDUSD ,$0.9987
XMR ,$145.60
STX ,$1.743
IMX ,$1.591
USDE ,$0.9989
OKB ,$40.49
WIF ,$2.417
AAVE ,$148.73
FIL ,$3.677
INJ ,$22.08
CRO ,$0.08107
OP ,$1.689
HBAR ,$0.05444
ARB ,$0.5575
FTM ,$0.7133
MNT ,$0.5985
VET ,$0.02301
BONK ,$0.00002528
ATOM ,$4.523
SEI ,$0.4633
RUNE ,$4.800
GRT ,$0.1624
BGB ,$0.9799
FLOKI ,$0.0001428
HNT ,$7.903
MKR ,"$1,515"
THETA ,$1.325
AR ,$20.02
HEX ,$0.01377
HTX ,$0.000001260
PYTH ,$0.3336
TIA ,$5.300
JUP ,$0.8296
OM ,$1.278
ALGO ,$0.1271
LDO ,$1.157
ONDO ,$0.7355
JASMY ,$0.02069
WBT ,$11.39
POPCAT ,$1.006
W ,$0.3785
BEAM ,$0.01902
KCS ,$7.803
BSV ,$46.16
BRETT ,$0.08924
BTT  ,$0.0000009130
WLD ,$1.740
CORE ,$0.9368
QNT ,$70.30
PLS ,$0.00005278
FLOW ,$0.5503
CFX ,$0.1897
NOT ,$0.007826
STRK ,$0.4015
GT ,$8.478
EOS ,$0.4855
USDD ,$1.000
FTT ," $2.242	"
AXS ,$4.821
FTN ,$2.399
EIGEN ,$3.923
GALA ,$0.02095
NEO ,$10.34
CHEEL ,$12.79
FLR ,$0.01496
ORDI ,$34.37
EGLD ,$25.97
CKB ,$0.01564
,
